HP;17- an124nv Gaming Laptop;Core i7 8750H,12 GB,256GB SSD + 1TB HDD,GTX 1050 4 GB
Samsung;Galaxy Book 12.0 LTE Laptop;Core i5 7200U,8 GB,256 GB,Intel HD Graphics 620
Dell;XPS 13 9370-2678 Laptop;Core i7 8550U,8 GB,256 GB,HD Graphics
Dell;XPS 15 9570-2692 Touch Laptop;Core i7 8750H,32 GB,1 TB,GTX 1050 Ti 4 GB
Dell;XPS 15 9570-2708 UHD Laptop;Core i9 8950HK,32 GB,2 TB,GTX 1050 Ti 4 GB
Dell;Alienware 17 R5 Laptop;Intel Core i7 8750H,16 GB,256GB SSD + 1TB HDD,GTX 1070 8 GB
Dell;Inspiron 14 2in1 5482-2524 Laptop;Core i7 8565U,8 GB,256 GB,GeForce MX130 2 GB
Toshiba;Satellite Pro A50-E-15X Laptop;Core i7 8550U,8 GB,1 TB,Intel UHD Graphics 620
Toshiba;PortegeZ30-C-16J Laptop;Core i5 6200U,8 GB,256 GB,HD Graphics
Toshiba;PortegeZ30-C-16L Laptop;Core i7 6500U,8 GB,256 GB,HD Graphics
Toshiba;Portege Z30-C-16P Laptop;Core i7 6500U,16 GB,512 GB,HD Graphics
Toshiba;Portege Z30t-C-133 Laptop;Core i7 6500U,16 GB,512 GB,HD Graphics
Microsoft;Surface Platinum ΞΌΞµ Core i5 Laptop;Core i5 7200U,4 GB,128 GB,Intel HD Graphics 620
Microsoft;Surface i7/8GB/256GB Laptop;Core i7 7660U,8 GB,256 GB,Iris Plus 640
Microsoft;Surface i7/16GB/512GB Laptop;Core i7 7660U,16 GB,512 GB,Iris Plus 640
Microsoft;Surface Pro (Gen 5) i7 FJZ-00004 Laptop;Core i7 7660U,8 GB,256 GB,IRIS 640
HP;Envy 13-ad010nv Laptop;Core i7 7500U,8 GB,128 GB,HD Graphics
Microsoft;Surface Pro (Gen 5) i7/16GB/512GB Laptop;Core i7 7660U,16 GB,512 GB,IRIS 640
Lenovo;320-17IKB (i7/D4) Laptop;Core i7 7500U,6 GB,128GB SSD + 1TB HDD,940MX 4 GB
Lenovo;YOGA 920-13IKB (i5) Laptop;Core i5 8250U,8 GB,256 GB,HD Graphics
Toshiba;Satellite Pro A50-D-10X Laptop;Core i5 7200U,8 GB,256 GB,HD Graphics
Toshiba;Tecra Z50-D-10E Laptop;Core i5 7200U,8 GB,256 GB,HD Graphics
Toshiba;Tecra X40-D-10H Laptop;Core i7 7500U,16 GB,512 GB,HD Graphics
Toshiba;Portege X30-D-10J Laptop;Core i5 7200U,8 GB,256 GB,HD Graphics
Toshiba;Portege X30-D-10K Laptop;Core i7 7500U,16 GB,512 GB,HD Graphics
Toshiba;Portege X30-D-10L Laptop;Core i7 7500U,32 GB,512 GB,HD Graphics
Apple;MacBook Pro 15'' ΞΌΞµ Touch Bar MR972GR/A (Mid 2018) Silver Laptop;Core i78850H,16 GB,512 GB,Radeon Graphics 4 GB
Apple;MacBook Pro 15'' ΞΌΞµ Touch Bar MR962GR/A (Mid 2018) Silver Laptop;Core i78750H,16 GB,256 GB,Radeon Graphics 4 GB
HP;Omen 15 -dc0022nv Laptop;Core i7 8750H,8 GB,1 TB,GTX 1050 4 GB
HP;Stream 14- cb060nv Laptop;Celeron N3060,4 GB,32 GB,HD Graphics
